# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
67.2            	p               	-4.97202301e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69447909e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.2            	U               	(1.04575893e-03 1.41657516e-03 -5.92513174e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11911611e+00 3.15881791e-01 9.47327223e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.25           	p               	-4.97196398e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69448706e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.25           	U               	(1.04573563e-03 1.41658727e-03 -5.92511061e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11911484e+00 3.15882178e-01 9.47324130e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.3            	p               	-4.97185425e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69457862e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.3            	U               	(1.04571037e-03 1.41660165e-03 -5.92509956e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11911358e+00 3.15882566e-01 9.47320140e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.35           	p               	-4.97178696e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69460819e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.35           	U               	(1.04569120e-03 1.41661041e-03 -5.92506384e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11911233e+00 3.15882952e-01 9.47317493e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.4            	p               	-4.97168723e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69469931e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.4            	U               	(1.04566596e-03 1.41662472e-03 -5.92506256e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11911108e+00 3.15883339e-01 9.47314024e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.45           	p               	-4.97163349e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69471277e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.45           	U               	(1.04564514e-03 1.41663487e-03 -5.92503145e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910984e+00 3.15883721e-01 9.47311122e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.5            	p               	-4.97152358e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69481190e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.5            	U               	(1.04561781e-03 1.41665115e-03 -5.92503328e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910860e+00 3.15884102e-01 9.47307687e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.55           	p               	-4.97146159e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69482951e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.55           	U               	(1.04559963e-03 1.41665908e-03 -5.92499149e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910736e+00 3.15884483e-01 9.47304625e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.6            	p               	-4.97135779e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69493237e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.6            	U               	(1.04557436e-03 1.41667349e-03 -5.92499356e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910614e+00 3.15884864e-01 9.47301546e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.65           	p               	-4.97130204e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69494177e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.65           	U               	(1.04555259e-03 1.41668445e-03 -5.92496692e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910491e+00 3.15885240e-01 9.47298876e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.7            	p               	-4.97119306e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69503142e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.7            	U               	(1.04552785e-03 1.41669859e-03 -5.92495989e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910369e+00 3.15885617e-01 9.47294818e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.75           	p               	-4.97112969e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69505856e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.75           	U               	(1.04550944e-03 1.41670690e-03 -5.92492325e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910247e+00 3.15885993e-01 9.47292341e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.8            	p               	-4.97103085e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69514891e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.8            	U               	(1.04548472e-03 1.41672101e-03 -5.92492349e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910126e+00 3.15886368e-01 9.47288900e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.85           	p               	-4.97098082e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69516008e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.85           	U               	(1.04546473e-03 1.41673063e-03 -5.92489175e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11910005e+00 3.15886740e-01 9.47286144e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.9            	p               	-4.97087150e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69525894e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
67.9            	U               	(1.04543811e-03 1.41674653e-03 -5.92489466e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909885e+00 3.15887110e-01 9.47282770e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
67.95           	p               	-4.97081342e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69527342e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
67.95           	U               	(1.04542046e-03 1.41675420e-03 -5.92485358e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909765e+00 3.15887480e-01 9.47279819e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68              	p               	-4.97071045e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69537609e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68              	U               	(1.04539588e-03 1.41676825e-03 -5.92485588e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909645e+00 3.15887851e-01 9.47276798e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.05           	p               	-4.97065793e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69538285e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.05           	U               	(1.04537474e-03 1.41677888e-03 -5.92482984e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909526e+00 3.15888216e-01 9.47274221e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.1            	p               	-4.97055010e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69547216e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.1            	U               	(1.04535080e-03 1.41679255e-03 -5.92482285e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909408e+00 3.15888582e-01 9.47270287e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.15           	p               	-4.97048993e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69549655e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.15           	U               	(1.04533283e-03 1.41680067e-03 -5.92478762e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909289e+00 3.15888946e-01 9.47267889e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.2            	p               	-4.97039251e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69558635e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.2            	U               	(1.04530887e-03 1.41681435e-03 -5.92478750e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909172e+00 3.15889311e-01 9.47264513e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.25           	p               	-4.97034533e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69559526e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.25           	U               	(1.04528940e-03 1.41682373e-03 -5.92475695e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11909054e+00 3.15889672e-01 9.47261879e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.3            	p               	-4.97023751e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69569343e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.3            	U               	(1.04526362e-03 1.41683912e-03 -5.92475948e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908937e+00 3.15890032e-01 9.47258570e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.35           	p               	-4.97018236e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69570562e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.35           	U               	(1.04524639e-03 1.41684664e-03 -5.92471997e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908821e+00 3.15890392e-01 9.47255728e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.4            	p               	-4.97008367e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69579647e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.4            	U               	(1.04522007e-03 1.41686254e-03 -5.92472847e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908705e+00 3.15890748e-01 9.47252667e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.45           	p               	-4.97002293e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69581487e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.45           	U               	(1.04520350e-03 1.41686957e-03 -5.92468576e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908589e+00 3.15891105e-01 9.47249754e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.5            	p               	-4.96992753e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69590995e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.5            	U               	(1.04517958e-03 1.41688326e-03 -5.92468996e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908474e+00 3.15891461e-01 9.47246949e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.55           	p               	-4.96988311e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69591013e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.55           	U               	(1.04516119e-03 1.41689190e-03 -5.92465730e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908359e+00 3.15891815e-01 9.47243882e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.6            	p               	-4.96977431e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69601527e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.6            	U               	(1.04513597e-03 1.41690693e-03 -5.92466081e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908245e+00 3.15892167e-01 9.47241050e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.65           	p               	-4.96972365e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69601875e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.65           	U               	(1.04511900e-03 1.41691439e-03 -5.92462272e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908131e+00 3.15892519e-01 9.47237996e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.7            	p               	-4.96962286e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69611570e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.7            	U               	(1.04509361e-03 1.41692961e-03 -5.92462958e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11908017e+00 3.15892867e-01 9.47235199e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.75           	p               	-4.96956724e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69612631e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.75           	U               	(1.04507704e-03 1.41693680e-03 -5.92458990e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907904e+00 3.15893217e-01 9.47232220e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.8            	p               	-4.96947247e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69621552e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.8            	U               	(1.04505151e-03 1.41695218e-03 -5.92459834e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907792e+00 3.15893562e-01 9.47229394e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.85           	p               	-4.96941245e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69623301e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.85           	U               	(1.04503547e-03 1.41695897e-03 -5.92455697e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907679e+00 3.15893909e-01 9.47226467e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.9            	p               	-4.96932036e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69632601e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
68.9            	U               	(1.04501234e-03 1.41697214e-03 -5.92456074e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907567e+00 3.15894255e-01 9.47223834e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
68.95           	p               	-4.96927657e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69632560e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
68.95           	U               	(1.04499446e-03 1.41698058e-03 -5.92452949e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907456e+00 3.15894599e-01 9.47220767e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69              	p               	-4.96917124e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69642825e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69              	U               	(1.04497006e-03 1.41699508e-03 -5.92453237e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907345e+00 3.15894941e-01 9.47218084e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.05           	p               	-4.96912161e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69643147e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.05           	U               	(1.04495354e-03 1.41700236e-03 -5.92449582e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907234e+00 3.15895282e-01 9.47215075e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.1            	p               	-4.96902391e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69652582e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.1            	U               	(1.04492893e-03 1.41701709e-03 -5.92450214e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907124e+00 3.15895621e-01 9.47212386e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.15           	p               	-4.96896961e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69653617e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.15           	U               	(1.04491283e-03 1.41702407e-03 -5.92446381e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11907014e+00 3.15895960e-01 9.47209477e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.2            	p               	-4.96887766e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69662291e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.2            	U               	(1.04488806e-03 1.41703899e-03 -5.92447185e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906905e+00 3.15896296e-01 9.47206748e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.25           	p               	-4.96881926e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69663996e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.25           	U               	(1.04487253e-03 1.41704554e-03 -5.92443164e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906795e+00 3.15896633e-01 9.47203870e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.3            	p               	-4.96872993e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69673030e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.3            	U               	(1.04484997e-03 1.41705841e-03 -5.92443561e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906687e+00 3.15896969e-01 9.47201373e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.35           	p               	-4.96868714e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69673010e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.35           	U               	(1.04483270e-03 1.41706651e-03 -5.92440479e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906578e+00 3.15897303e-01 9.47198333e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.4            	p               	-4.96858487e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69682975e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.4            	U               	(1.04480895e-03 1.41708065e-03 -5.92440800e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906471e+00 3.15897635e-01 9.47195773e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.45           	p               	-4.96853650e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69683304e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.45           	U               	(1.04479294e-03 1.41708768e-03 -5.92437220e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906363e+00 3.15897966e-01 9.47192822e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.5            	p               	-4.96844157e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69692466e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.5            	U               	(1.04476901e-03 1.41710201e-03 -5.92437857e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906256e+00 3.15898296e-01 9.47190228e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.55           	p               	-4.96838871e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69693486e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.55           	U               	(1.04475340e-03 1.41710877e-03 -5.92434117e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906149e+00 3.15898625e-01 9.47187393e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.6            	p               	-4.96829936e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69701909e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.6            	U               	(1.04472931e-03 1.41712328e-03 -5.92434912e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11906043e+00 3.15898951e-01 9.47184748e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.65           	p               	-4.96824253e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69703580e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.65           	U               	(1.04471425e-03 1.41712962e-03 -5.92430993e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905937e+00 3.15899279e-01 9.47181951e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.7            	p               	-4.96815572e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69712355e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.7            	U               	(1.04469232e-03 1.41714214e-03 -5.92431390e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905832e+00 3.15899605e-01 9.47179529e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.75           	p               	-4.96811408e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69712347e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.75           	U               	(1.04467557e-03 1.41714999e-03 -5.92428386e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905726e+00 3.15899929e-01 9.47176572e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.8            	p               	-4.96801469e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69722027e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.8            	U               	(1.04465248e-03 1.41716373e-03 -5.92428707e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905622e+00 3.15900252e-01 9.47174089e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.85           	p               	-4.96796762e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69722359e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.85           	U               	(1.04463695e-03 1.41717056e-03 -5.92425223e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905517e+00 3.15900574e-01 9.47171222e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.9            	p               	-4.96787537e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69731264e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
69.9            	U               	(1.04461369e-03 1.41718448e-03 -5.92425845e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905413e+00 3.15900894e-01 9.47168707e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
69.95           	p               	-4.96782407e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69732256e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
69.95           	U               	(1.04459857e-03 1.41719101e-03 -5.92422199e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905309e+00 3.15901214e-01 9.47165929e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70              	p               	-4.96773850e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69740753e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
70              	U               	(1.04457487e-03 1.41720540e-03 -5.92423085e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905206e+00 3.15901531e-01 9.47163172e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.05           	p               	-4.96769575e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69741500e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
70.05           	U               	(1.04456119e-03 1.41721060e-03 -5.92418787e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905103e+00 3.15901849e-01 9.47160962e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.1            	p               	-4.96759805e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69750684e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
70.1            	U               	(1.04453736e-03 1.41722519e-03 -5.92420375e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11905001e+00 3.15902164e-01 9.47158069e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.15           	p               	-4.96755569e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69750762e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
70.15           	U               	(1.04452317e-03 1.41723091e-03 -5.92416107e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11904899e+00 3.15902480e-01 9.47155503e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.2            	p               	-4.96746081e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69759905e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
70.2            	U               	(1.04449989e-03 1.41724503e-03 -5.92417264e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11904797e+00 3.15902793e-01 9.47152939e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.25           	p               	-4.96741434e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69760417e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
70.25           	U               	(1.04448540e-03 1.41725112e-03 -5.92413398e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11904696e+00 3.15903106e-01 9.47150295e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.3            	p               	-4.96732517e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69768927e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
70.3            	U               	(1.04446249e-03 1.41726494e-03 -5.92414302e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11904595e+00 3.15903416e-01 9.47147764e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.35           	p               	-4.96727474e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69770024e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
70.35           	U               	(1.04444811e-03 1.41727100e-03 -5.92410558e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11904494e+00 3.15903727e-01 9.47145118e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.4            	p               	-4.96719209e-01	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	6.69778156e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
70.4            	U               	(1.04442486e-03 1.41728519e-03 -5.92411591e-20)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.11904394e+00 3.15904035e-01 9.47142411e-20)	(-4.49460138e-01 2.25785711e+00 4.38235119e-17)
70.45           	p               	-4.96714982e-01	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	6.69779029e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
