# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
5.00000000e-02	p              	-1.89248840e+01	(1.03340804e+00 -4.06193460e-02 2.61053336e-17)	2.21149509e+01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
4.50000000e-01	U              	(8.79853275e-02 -7.66499543e-02 -9.26653620e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.63645737e+00 2.09119553e-01 9.08935766e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
5.00000000e-01	p              	-1.23834326e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.32091456e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
5.00000000e-01	U              	(7.01286223e-02 -5.84717968e-02 -9.09426003e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.48220347e+00 2.43865697e-01 1.00445658e-18)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
5.50000000e-01	p              	-1.22248621e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.19826953e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
5.50000000e-01	U              	(5.41165693e-02 -4.23976234e-02 -8.90850291e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.48363436e+00 2.47571169e-01 1.00748529e-18)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
6.00000000e-01	p              	-1.20787832e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.10292463e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
6.00000000e-01	U              	(3.97594617e-02 -2.80577151e-02 -8.71253474e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.48459003e+00 2.51292804e-01 1.00824380e-18)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
6.50000000e-01	p              	-1.19420506e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.02820963e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
6.50000000e-01	U              	(2.68845131e-02 -1.52026190e-02 -8.50526595e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.48513430e+00 2.55019650e-01 1.00843194e-18)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
7.00000000e-01	p              	-1.18129015e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.96932076e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
7.00000000e-01	U              	(1.53219587e-02 -3.63473324e-03 -8.29442658e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.48533081e+00 2.58720000e-01 1.00865658e-18)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
7.50000000e-01	p              	-1.16886772e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.92315918e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
7.50000000e-01	U              	(4.92826196e-03 6.79296998e-03 -8.06522787e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.32005642e+00 4.45620172e-01 5.18237890e-19)	(-5.92566600e-01 1.28544556e+00 0.00000000e+00)
8.00000000e-01	p              	-1.15706708e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.88640470e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
8.00000000e-01	U              	(-4.39177393e-03 1.61834205e-02 -7.80144136e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.31876037e+00 4.48093813e-01 5.18424910e-19)	(-5.92566600e-01 1.28544556e+00 0.00000000e+00)
8.50000000e-01	p              	-1.14549092e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.85764455e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
8.50000000e-01	U              	(-1.27649167e-02 2.46429563e-02 -7.54444090e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.31734276e+00 4.50391042e-01 5.18107026e-19)	(-5.92566600e-01 1.28544556e+00 0.00000000e+00)
9.00000000e-01	p              	-1.13442338e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.83455085e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
9.00000000e-01	U              	(-2.02967229e-02 3.22503574e-02 -7.27508330e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.28995629e+00 6.67485348e-01 4.54117785e-19)	(-5.75773652e-01 1.02819339e+00 2.16922001e-17)
9.50000000e-01	p              	-1.12345956e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.81696653e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
9.50000000e-01	U              	(-2.70853353e-02 3.90842346e-02 -7.00106009e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.28544014e+00 6.67589541e-01 4.52160847e-19)	(-5.75773652e-01 1.02819339e+00 2.16922001e-17)
1.00000000e+00	p              	-1.11269931e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.80324119e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.00000000e+00	U              	(-3.32043023e-02 4.52098039e-02 -6.73375161e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.61028310e+00 2.55945813e-01 8.29498212e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1.05000000e+00	p              	-1.10213007e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.79279263e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.05000000e+00	U              	(-3.87142587e-02 5.06834035e-02 -6.47283093e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.53364099e+00 3.66057471e-01 -1.37832977e-19)	(-2.29922299e-01 1.15562979e+00 7.81988877e-19)
1.10000000e+00	p              	-1.09168536e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.78510355e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.10000000e+00	U              	(-4.36676862e-02 5.55542817e-02 -6.21806206e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.52604395e+00 3.67791134e-01 -1.35551580e-19)	(-2.29922299e-01 1.15562979e+00 7.81988877e-19)
1.15000000e+00	p              	-1.08131964e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.77987393e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
1.15000000e+00	U              	(-4.81122040e-02 5.98670720e-02 -5.96978273e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.50825752e+00 4.34938750e-01 -1.84321923e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.20000000e+00	p              	-1.07132223e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77641474e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.20000000e+00	U              	(-5.20814830e-02 6.36561930e-02 -5.72511566e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.50481470e+00 4.36955066e-01 -1.83054036e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.25000000e+00	p              	-1.06194678e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77457107e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.25000000e+00	U              	(-5.56059388e-02 6.69539993e-02 -5.48475356e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.50141742e+00 4.38835122e-01 -1.81774982e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.30000000e+00	p              	-1.05275577e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77357416e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.30000000e+00	U              	(-5.87082762e-02 6.97853840e-02 -5.24681045e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.49809312e+00 4.40573648e-01 -1.80373482e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.35000000e+00	p              	-1.04348281e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77424347e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.35000000e+00	U              	(-6.14146512e-02 7.21813101e-02 -5.01387785e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.46339678e+00 4.02596047e-01 1.54990456e-19)	(-3.62010175e-01 1.28335018e+00 0.00000000e+00)
1.40000000e+00	p              	-1.03443229e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77530560e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.40000000e+00	U              	(-6.37412739e-02 7.41609182e-02 -4.78245457e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.46092899e+00 4.04477789e-01 1.54448971e-19)	(-3.62010175e-01 1.28335018e+00 0.00000000e+00)
1.45000000e+00	p              	-1.02540651e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77745304e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.45000000e+00	U              	(-6.57205980e-02 7.57550447e-02 -4.55848467e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.59452736e+00 1.02373372e-01 2.96108658e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.50000000e+00	p              	-1.01650863e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.77986206e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.50000000e+00	U              	(-6.73646176e-02 7.69807946e-02 -4.33571458e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.59161821e+00 1.06971278e-01 2.92447472e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.55000000e+00	p              	-1.00771770e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.78262166e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.55000000e+00	U              	(-6.86903040e-02 7.78603367e-02 -4.11756349e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.58863634e+00 1.11458072e-01 2.88786491e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.60000000e+00	p              	-9.98999906e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.78586044e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.60000000e+00	U              	(-6.97158092e-02 7.84171015e-02 -3.90424399e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.58559145e+00 1.15836198e-01 2.85145111e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.65000000e+00	p              	-9.90391250e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.78930239e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.65000000e+00	U              	(-7.04576840e-02 7.86712509e-02 -3.69521063e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.58249214e+00 1.20108763e-01 2.81529961e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.70000000e+00	p              	-9.81858616e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.79307976e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.70000000e+00	U              	(-7.09366133e-02 7.86427993e-02 -3.49166341e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.57934564e+00 1.24279561e-01 2.77944082e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.75000000e+00	p              	-9.73455430e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.79680937e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.75000000e+00	U              	(-7.11675781e-02 7.83471228e-02 -3.29208007e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.57615862e+00 1.28351374e-01 2.74401244e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.80000000e+00	p              	-9.65228435e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.80033854e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.80000000e+00	U              	(-7.37498330e-02 -1.44390751e-01 -9.23154008e-19)	(1.48871873e+00 1.76335018e-01 0.00000000e+00)	(1.57293471e+00 1.32327618e-01 2.70900212e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.85000000e+00	p              	-9.57120792e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.80368465e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.85000000e+00	U              	(-9.34554159e-02 -1.38442494e-01 -9.30876503e-19)	(1.48871873e+00 1.76335018e-01 0.00000000e+00)	(1.56968142e+00 1.36211337e-01 2.67447288e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.90000000e+00	p              	-9.49076107e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.80759287e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.90000000e+00	U              	(-1.57359184e-01 -4.42061331e-02 -2.89397577e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.56639980e+00 1.40002123e-01 2.64067306e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.95000000e+00	p              	-9.41087729e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.81145782e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.95000000e+00	U              	(-1.76623351e-01 -4.20954093e-02 -2.91032968e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.56309377e+00 1.43705470e-01 2.60695652e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.00000000e+00	p              	-9.33265315e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.81505533e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.00000000e+00	U              	(-1.95539295e-01 -3.99531842e-02 -2.90780978e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.55976727e+00 1.47323198e-01 2.57398309e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.05000000e+00	p              	-9.25625598e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.81818622e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.05000000e+00	U              	(-2.14083436e-01 -3.77765484e-02 -2.89711235e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.55642455e+00 1.50856681e-01 2.54164557e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.10000000e+00	p              	-9.18120295e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.82115001e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.10000000e+00	U              	(-2.32265080e-01 -3.55599758e-02 -2.88128316e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.55306913e+00 1.54307607e-01 2.50993608e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.15000000e+00	p              	-9.10728241e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.82402727e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.15000000e+00	U              	(-2.50054252e-01 -3.33208220e-02 -2.85186727e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.51550985e+00 3.15687828e-01 6.54878524e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.20000000e+00	p              	-9.03403671e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.82713168e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.20000000e+00	U              	(-2.67312426e-01 -3.10358482e-02 -2.79808781e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.51172013e+00 3.17374950e-01 6.48407807e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.25000000e+00	p              	-8.96299583e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.82950204e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.25000000e+00	U              	(-2.84151838e-01 -2.87862752e-02 -2.75508322e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.50795834e+00 3.19014876e-01 6.42079827e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.30000000e+00	p              	-8.89313837e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.83176208e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.30000000e+00	U              	(-3.00638399e-01 -2.65623622e-02 -2.71202319e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.50422563e+00 3.20607687e-01 6.35887632e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.35000000e+00	p              	-8.82493266e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.83366819e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.35000000e+00	U              	(-3.16745579e-01 -2.43292397e-02 -2.65784330e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.50052305e+00 3.22153957e-01 6.29822384e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.40000000e+00	p              	-8.75811421e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.83529574e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.40000000e+00	U              	(-3.32422859e-01 -2.20884596e-02 -2.59064952e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.49685157e+00 3.23655354e-01 6.23869709e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.45000000e+00	p              	-8.69310130e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.83646407e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.45000000e+00	U              	(-3.47677031e-01 -1.98399520e-02 -2.52077969e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.49321246e+00 3.25112318e-01 6.18057136e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.50000000e+00	p              	-8.62802358e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.83823786e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.50000000e+00	U              	(-3.62433715e-01 -1.76025742e-02 -2.43426922e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.48960393e+00 3.26526223e-01 6.12329111e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.55000000e+00	p              	-8.56493584e-01	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.83936257e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.55000000e+00	U              	(-3.76719291e-01 -1.53620309e-02 -2.35138074e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.48602737e+00 3.27897685e-01 6.06732457e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.60000000e+00	p              	-8.50842781e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83954146e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.60000000e+00	U              	(-3.90543036e-01 -1.29785063e-02 -2.27629661e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.41631616e+00 3.45395406e-01 8.02901406e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.65000000e+00	p              	-8.45329945e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83941217e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.65000000e+00	U              	(-4.03878282e-01 -1.08989843e-02 -2.15554295e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.41431085e+00 3.46745669e-01 7.98060062e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.70000000e+00	p              	-8.39840067e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83982321e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.70000000e+00	U              	(-4.16748261e-01 -8.83771584e-03 -2.06079386e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.41231830e+00 3.48062275e-01 7.92747366e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.75000000e+00	p              	-8.34493063e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83969880e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.75000000e+00	U              	(-4.29166357e-01 -6.74995897e-03 -1.95925148e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.41034107e+00 3.49349105e-01 7.87647034e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.80000000e+00	p              	-8.29332261e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83902337e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.80000000e+00	U              	(-4.41151727e-01 -4.65606212e-03 -1.85472185e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.40838232e+00 3.50607481e-01 7.82760216e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.85000000e+00	p              	-8.24162854e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83893536e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.85000000e+00	U              	(-4.52656555e-01 -2.57041579e-03 -1.74099415e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.40644003e+00 3.51838650e-01 7.77974177e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.90000000e+00	p              	-8.19212705e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83790945e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.90000000e+00	U              	(-4.63705513e-01 -5.04684545e-04 -1.63061278e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.40451373e+00 3.53042499e-01 7.73310993e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
2.95000000e+00	p              	-8.14426506e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83635488e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.95000000e+00	U              	(-4.74317807e-01 1.54068040e-03 -1.52091777e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.40260375e+00 3.54218336e-01 7.68764770e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
3.00000000e+00	p              	-8.09661139e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83522589e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3.00000000e+00	U              	(-4.84561850e-01 3.59391561e-03 -1.42192337e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.40070928e+00 3.55365968e-01 7.64298373e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
3.05000000e+00	p              	-8.04997041e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83396417e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3.05000000e+00	U              	(-4.94332073e-01 5.56179929e-03 -1.29804634e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.39883019e+00 3.56485264e-01 7.59925430e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
3.10000000e+00	p              	-8.00513985e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.83202744e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
