# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
103.35          	((1.21298526e+00 2.15946701e-08 3.88691737e-21) (7.61995085e-01 1.15174242e-09 -3.23883609e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16794298e-20 -6.33621351e-21 -3.71295876e-14) (-5.34492387e-20 5.76331662e-23 4.89845577e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.4           	((1.21298489e+00 -1.19260042e-08 3.88684831e-21) (7.61994952e-01 1.22074243e-09 -3.24015808e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16794381e-20 -6.33620967e-21 8.45903209e-14) (-5.34492413e-20 5.76464751e-23 3.86240068e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.45          	((1.21298501e+00 -4.21345055e-09 3.88687496e-21) (7.61994832e-01 -3.50188750e-10 -3.24007119e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16794117e-20 -6.33621608e-21 -2.31781825e-14) (-5.34492263e-20 5.76362651e-23 5.49462854e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.5           	((1.21298491e+00 -1.98094764e-08 3.88685222e-21) (7.61994719e-01 -7.84027905e-10 -3.23826038e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793994e-20 -6.33620694e-21 7.95002085e-15) (-5.34492489e-20 5.76429236e-23 4.83890386e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.55          	((1.21298425e+00 -1.02757324e-08 3.88681658e-21) (7.61994594e-01 -2.07104574e-09 -3.24081638e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16794228e-20 -6.33622470e-21 -1.60368680e-14) (-5.34492000e-20 5.76331970e-23 5.27322495e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.6           	((1.21298443e+00 -1.77094119e-08 3.88684567e-21) (7.61994476e-01 -1.13002934e-09 -3.23866311e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793677e-20 -6.33618141e-21 2.60894821e-14) (-5.34492430e-20 5.76404898e-23 3.95789766e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.65          	((1.21298421e+00 6.09798161e-08 3.88678153e-21) (7.61994364e-01 7.32043710e-10 -3.23972071e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16794089e-20 -6.33621938e-21 -4.16951629e-15) (-5.34492099e-20 5.76355560e-23 5.88028747e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.7           	((1.21298409e+00 7.87027760e-09 3.88678489e-21) (7.61994253e-01 1.47767941e-09 -3.23895511e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793726e-20 -6.33620553e-21 5.11895214e-15) (-5.34492246e-20 5.76417618e-23 5.44502644e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.75          	((1.21298344e+00 2.43680005e-08 3.88677687e-21) (7.61994129e-01 9.25663889e-10 -3.23906101e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793990e-20 -6.33620576e-21 -1.25095247e-14) (-5.34491959e-20 5.76362616e-23 5.91584649e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.8           	((1.21298336e+00 -4.28750360e-08 3.88676045e-21) (7.61994006e-01 -3.76224035e-10 -3.23904863e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793569e-20 -6.33620110e-21 -6.52863180e-15) (-5.34492059e-20 5.76377601e-23 3.54404315e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.85          	((1.21298332e+00 7.12063910e-09 3.88674066e-21) (7.61993891e-01 -6.73190764e-10 -3.23911933e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793805e-20 -6.33620709e-21 5.67568995e-15) (-5.34491937e-20 5.76393121e-23 3.35497644e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.9           	((1.21298301e+00 -2.77830664e-08 3.88673554e-21) (7.61993775e-01 -5.77901439e-10 -3.23991981e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793679e-20 -6.33620401e-21 -6.62230687e-15) (-5.34491921e-20 5.76345886e-23 3.02598575e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
103.95          	((1.21298276e+00 5.49731523e-08 3.88669026e-21) (7.61993657e-01 -3.39915589e-10 -3.23849525e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793478e-20 -6.33620061e-21 2.75398194e-14) (-5.34491875e-20 5.76457476e-23 5.46892014e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104             	((1.21298275e+00 -1.03197919e-08 3.88669017e-21) (7.61993546e-01 -5.30807762e-10 -3.24029361e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793862e-20 -6.33620586e-21 -2.61748088e-15) (-5.34491738e-20 5.76354079e-23 3.43808763e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.05          	((1.21298261e+00 1.98219689e-08 3.88669053e-21) (7.61993438e-01 2.17249118e-10 -3.23808528e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793367e-20 -6.33619784e-21 -9.96566111e-15) (-5.34491878e-20 5.76418438e-23 3.85745165e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.1           	((1.21298198e+00 -9.03184182e-09 3.88665346e-21) (7.61993317e-01 6.53569376e-10 -3.24111367e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793487e-20 -6.33620537e-21 1.83113073e-14) (-5.34491594e-20 5.76332045e-23 3.90061178e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.15          	((1.21298199e+00 -5.10148625e-09 3.88670098e-21) (7.61993199e-01 -3.61777670e-10 -3.23770409e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793183e-20 -6.33618566e-21 -4.72163541e-14) (-5.34491782e-20 5.76429700e-23 5.44396004e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.2           	((1.21298179e+00 -2.07041540e-08 3.88659923e-21) (7.61993085e-01 -8.57542457e-10 -3.23962820e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793374e-20 -6.33620867e-21 2.50888720e-14) (-5.34491641e-20 5.76329092e-23 4.82479664e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.25          	((1.21298175e+00 -7.18912169e-10 3.88663999e-21) (7.61992978e-01 -9.87506354e-10 -3.23913706e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793262e-20 -6.33619319e-21 -3.53590855e-15) (-5.34491630e-20 5.76415074e-23 4.84725475e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.3           	((1.21298117e+00 -1.34069673e-08 3.88660056e-21) (7.61992860e-01 -9.84715389e-10 -3.23928116e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793380e-20 -6.33619747e-21 -3.89109318e-15) (-5.34491534e-20 5.76367830e-23 4.96013917e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.35          	((1.21298124e+00 2.65862620e-08 3.88662492e-21) (7.61992746e-01 -1.69623059e-10 -3.23975592e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792893e-20 -6.33618694e-21 4.67616397e-16) (-5.34491503e-20 5.76371043e-23 5.84181571e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.4           	((1.21298102e+00 -1.41992858e-08 3.88656122e-21) (7.61992637e-01 -2.55480134e-10 -3.23921096e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793207e-20 -6.33619489e-21 -5.17814958e-15) (-5.34491455e-20 5.76368091e-23 5.82345221e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.45          	((1.21298095e+00 5.45060140e-09 3.88656313e-21) (7.61992530e-01 -3.37313406e-11 -3.23924568e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793024e-20 -6.33619120e-21 6.92230561e-15) (-5.34491459e-20 5.76400926e-23 5.62259076e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.5           	((1.21298050e+00 1.71012227e-08 3.88655670e-21) (7.61992418e-01 2.71123415e-10 -3.23946092e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793098e-20 -6.33619859e-21 -1.06430706e-14) (-5.34491301e-20 5.76369566e-23 5.81027781e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.55          	((1.21298014e+00 -1.06073693e-08 3.88653800e-21) (7.61992299e-01 1.79981172e-10 -3.23914500e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792895e-20 -6.33618751e-21 -4.43167638e-15) (-5.34491364e-20 5.76379567e-23 5.51093195e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.6           	((1.21298018e+00 -2.48134528e-09 3.88652485e-21) (7.61992187e-01 -1.13405594e-10 -3.23953288e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792917e-20 -6.33619213e-21 3.79947809e-15) (-5.34491235e-20 5.76376561e-23 5.32645747e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.65          	((1.21298004e+00 -1.09467466e-08 3.88651216e-21) (7.61992080e-01 -2.88426793e-10 -3.23944045e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792974e-20 -6.33619063e-21 -4.04819407e-15) (-5.34491281e-20 5.76369267e-23 5.17080333e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.7           	((1.21297965e+00 -3.68912135e-09 3.88648893e-21) (7.61991968e-01 -8.12849683e-10 -3.23924275e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792570e-20 -6.33618449e-21 1.56068734e-14) (-5.34491124e-20 5.76402352e-23 5.91916773e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.75          	((1.21297977e+00 2.47706237e-08 3.88647519e-21) (7.61991865e-01 -2.25211457e-10 -3.23986338e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16793084e-20 -6.33619218e-21 -3.11328654e-15) (-5.34491141e-20 5.76360355e-23 5.21970533e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.8           	((1.21297960e+00 1.73072431e-08 3.88647350e-21) (7.61991764e-01 6.26502891e-10 -3.23868178e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792568e-20 -6.33618695e-21 -3.75394160e-15) (-5.34491137e-20 5.76407812e-23 5.47048358e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.85          	((1.21297887e+00 -5.31369641e-09 3.88644490e-21) (7.61991646e-01 5.79026823e-10 -3.24038311e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792778e-20 -6.33618604e-21 7.41106395e-15) (-5.34491035e-20 5.76335995e-23 5.64191943e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.9           	((1.21297900e+00 -4.78921191e-08 3.88646736e-21) (7.61991534e-01 -9.98674168e-10 -3.23799029e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792335e-20 -6.33618063e-21 -1.80903469e-14) (-5.34491009e-20 5.76441402e-23 5.66402064e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104.95          	((1.21297879e+00 5.05139667e-08 3.88639741e-21) (7.61991427e-01 3.02819922e-12 -3.23984786e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792785e-20 -6.33618685e-21 1.40088679e-14) (-5.34490994e-20 5.76328011e-23 6.19811584e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105             	((1.21297877e+00 4.81008584e-09 3.88643067e-21) (7.61991326e-01 4.93072822e-10 -3.23879472e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792365e-20 -6.33617984e-21 -2.85806535e-15) (-5.34490927e-20 5.76425754e-23 6.08317573e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.05          	((1.21297821e+00 -3.69196138e-08 3.88637980e-21) (7.61991215e-01 -8.50293443e-10 -3.23986497e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792708e-20 -6.33619302e-21 -4.35740853e-16) (-5.34490948e-20 5.76351244e-23 6.07116694e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.1           	((1.21297827e+00 5.31135741e-08 3.88638346e-21) (7.61991108e-01 -9.78342511e-11 -3.23929017e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792292e-20 -6.33617755e-21 -2.55763292e-16) (-5.34490809e-20 5.76399114e-23 5.82318967e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.15          	((1.21297816e+00 2.36073352e-08 3.88636559e-21) (7.61991006e-01 1.05677384e-09 -3.23988942e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792406e-20 -6.33618527e-21 -8.59447062e-16) (-5.34490884e-20 5.76341663e-23 5.11630141e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.2           	((1.21297770e+00 -5.15190688e-08 3.88636578e-21) (7.61990897e-01 -2.22676370e-10 -3.23914680e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792425e-20 -6.33617712e-21 5.29242448e-15) (-5.34490645e-20 5.76406893e-23 4.41024745e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.25          	((1.21297756e+00 -3.72648405e-09 3.88634511e-21) (7.61990788e-01 -1.07478336e-09 -3.23976561e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791983e-20 -6.33618093e-21 -1.92779820e-14) (-5.34490832e-20 5.76328144e-23 5.38097490e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.3           	((1.21297756e+00 7.82587314e-09 3.88633505e-21) (7.61990686e-01 -6.34282276e-10 -3.23917821e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792335e-20 -6.33617458e-21 -6.57102411e-15) (-5.34490655e-20 5.76374437e-23 4.75099220e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.35          	((1.21297743e+00 1.72997508e-08 3.88630274e-21) (7.61990587e-01 2.45996723e-10 -3.23977005e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792147e-20 -6.33618046e-21 9.30635777e-15) (-5.34490714e-20 5.76376496e-23 4.89403757e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.4           	((1.21297699e+00 -1.08683075e-08 3.88632164e-21) (7.61990481e-01 1.30469708e-10 -3.23924366e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792125e-20 -6.33617474e-21 -1.03464329e-14) (-5.34490524e-20 5.76348122e-23 4.93886460e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.45          	((1.21297662e+00 1.04557418e-08 3.88625983e-21) (7.61990367e-01 2.07621351e-11 -3.23918688e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792235e-20 -6.33617818e-21 3.08869683e-14) (-5.34490606e-20 5.76452720e-23 5.38857577e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.5           	((1.21297685e+00 1.25412030e-08 3.88629250e-21) (7.61990266e-01 -1.88678743e-10 -3.24002505e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791909e-20 -6.33617403e-21 -1.45066251e-14) (-5.34490475e-20 5.76347000e-23 5.48828122e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.55          	((1.21297671e+00 8.10512016e-09 3.88625872e-21) (7.61990171e-01 2.38147550e-10 -3.23851503e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791954e-20 -6.33617341e-21 4.45650461e-15) (-5.34490613e-20 5.76428973e-23 5.07832863e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.6           	((1.21297610e+00 -3.66096342e-08 3.88625423e-21) (7.61990063e-01 -8.55786914e-10 -3.24112753e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792076e-20 -6.33617929e-21 -7.42125545e-15) (-5.34490265e-20 5.76285561e-23 4.86384828e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.65          	((1.21297612e+00 8.93848447e-09 3.88624386e-21) (7.61989958e-01 -7.21063480e-10 -3.23729752e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791717e-20 -6.33615799e-21 1.52566761e-14) (-5.34490532e-20 5.76502440e-23 5.56483987e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.7           	((1.21297603e+00 3.17117009e-08 3.88620597e-21) (7.61989859e-01 1.43245658e-11 -3.24054540e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16792020e-20 -6.33618385e-21 2.00837610e-15) (-5.34490273e-20 5.76325261e-23 5.69283169e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.75          	((1.21297592e+00 7.43647483e-09 3.88621785e-21) (7.61989762e-01 4.94837678e-10 -3.23781436e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791640e-20 -6.33616288e-21 -3.76304890e-15) (-5.34490425e-20 5.76445779e-23 5.66477698e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.8           	((1.21297546e+00 -4.61811594e-09 3.88618823e-21) (7.61989658e-01 6.22110523e-11 -3.24094846e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791878e-20 -6.33617902e-21 1.60125819e-15) (-5.34490200e-20 5.76314273e-23 5.68156154e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.85          	((1.21297531e+00 -7.79052053e-09 3.88618457e-21) (7.61989553e-01 -4.34190090e-10 -3.23881686e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791608e-20 -6.33616214e-21 -1.82861538e-15) (-5.34490234e-20 5.76399239e-23 4.96932114e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.9           	((1.21297530e+00 1.04422356e-08 3.88616993e-21) (7.61989454e-01 -5.02807830e-11 -3.24011374e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791668e-20 -6.33617375e-21 2.72676846e-16) (-5.34490205e-20 5.76345229e-23 4.73043053e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
105.95          	((1.21297502e+00 7.58206585e-09 3.88616524e-21) (7.61989354e-01 5.27768208e-10 -3.23883198e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791712e-20 -6.33616357e-21 4.49792113e-15) (-5.34490091e-20 5.76400944e-23 4.69647814e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106             	((1.21297482e+00 -2.82351066e-08 3.88614688e-21) (7.61989253e-01 -6.10227677e-10 -3.23990224e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791220e-20 -6.33617271e-21 -1.62751757e-14) (-5.34490172e-20 5.76350693e-23 5.56469284e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.05          	((1.21297474e+00 3.80280018e-09 3.88613120e-21) (7.61989155e-01 -6.49513280e-10 -3.23919870e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791775e-20 -6.33615881e-21 2.88701354e-15) (-5.34490049e-20 5.76367178e-23 5.01107190e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.1           	((1.21297465e+00 4.23118124e-09 3.88611576e-21) (7.61989061e-01 -3.46564041e-10 -3.23979119e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791368e-20 -6.33617077e-21 -5.76795556e-17) (-5.34490093e-20 5.76373961e-23 5.21565242e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.15          	((1.21297418e+00 -9.57089708e-10 3.88611878e-21) (7.61988958e-01 -1.25690406e-10 -3.23921297e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791474e-20 -6.33615878e-21 1.40957124e-15) (-5.34489915e-20 5.76359007e-23 5.34833608e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.2           	((1.21297409e+00 3.46692867e-09 3.88608632e-21) (7.61988856e-01 -1.19276932e-10 -3.23935912e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791244e-20 -6.33617101e-21 -3.07544788e-15) (-5.34489992e-20 5.76419420e-23 5.80808047e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.25          	((1.21297399e+00 -4.39720809e-09 3.88608761e-21) (7.61988758e-01 -2.43964317e-10 -3.23959667e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791412e-20 -6.33615457e-21 -5.18248638e-16) (-5.34489903e-20 5.76341466e-23 5.71242935e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.3           	((1.21297393e+00 -6.33670407e-10 3.88606665e-21) (7.61988665e-01 -2.29256121e-10 -3.23917871e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791181e-20 -6.33616569e-21 9.36750677e-17) (-5.34489948e-20 5.76412361e-23 5.52785689e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.35          	((1.21297348e+00 3.38832056e-09 3.88606114e-21) (7.61988565e-01 -1.26360561e-10 -3.24024445e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791439e-20 -6.33616094e-21 1.23859256e-15) (-5.34489761e-20 5.76311349e-23 5.59729086e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.4           	((1.21297343e+00 1.44480255e-08 3.88603801e-21) (7.61988467e-01 1.35294057e-10 -3.23896495e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791038e-20 -6.33615975e-21 -2.81664882e-15) (-5.34489825e-20 5.76403207e-23 6.03295053e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.45          	((1.21297337e+00 2.19381968e-09 3.88603209e-21) (7.61988373e-01 2.85254244e-10 -3.24011528e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791190e-20 -6.33616195e-21 3.33327116e-15) (-5.34489731e-20 5.76336796e-23 5.62615274e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.5           	((1.21297300e+00 -1.82854453e-08 3.88602749e-21) (7.61988275e-01 -3.31596760e-10 -3.23834390e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791178e-20 -6.33615568e-21 -3.64096774e-15) (-5.34489707e-20 5.76425253e-23 5.40174995e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.55          	((1.21297286e+00 -1.82794897e-08 3.88600842e-21) (7.61988176e-01 -9.40148986e-10 -3.24077905e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790908e-20 -6.33615938e-21 3.95842213e-15) (-5.34489687e-20 5.76294561e-23 5.64218963e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.6           	((1.21297279e+00 3.12217530e-08 3.88599414e-21) (7.61988083e-01 -1.27882684e-10 -3.23887704e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791141e-20 -6.33615382e-21 -4.39546403e-15) (-5.34489638e-20 5.76395999e-23 5.92612581e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.65          	((1.21297271e+00 7.57585555e-09 3.88597871e-21) (7.61987992e-01 4.82969383e-10 -3.24024867e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790874e-20 -6.33616014e-21 2.85708956e-15) (-5.34489643e-20 5.76348018e-23 5.92632218e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.7           	((1.21297230e+00 -6.14619790e-09 3.88598107e-21) (7.61987895e-01 9.14080894e-11 -3.23828409e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16791028e-20 -6.33615139e-21 -1.60158345e-15) (-5.34489504e-20 5.76396954e-23 5.95198918e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.75          	((1.21297211e+00 -3.38221035e-08 3.88595008e-21) (7.61987795e-01 -7.32304752e-10 -3.24058927e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790754e-20 -6.33615951e-21 2.21155559e-15) (-5.34489567e-20 5.76348982e-23 5.54748011e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.8           	((1.21297212e+00 3.86999166e-08 3.88595459e-21) (7.61987702e-01 -8.02821837e-11 -3.23907701e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790927e-20 -6.33614829e-21 -4.01599327e-15) (-5.34489497e-20 5.76375160e-23 6.34193243e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.85          	((1.21297205e+00 4.57595156e-09 3.88592978e-21) (7.61987614e-01 5.18180342e-10 -3.24019237e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790666e-20 -6.33615760e-21 3.22951301e-15) (-5.34489514e-20 5.76368217e-23 6.09525562e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.9           	((1.21297155e+00 -6.61182538e-09 3.88593150e-21) (7.61987517e-01 -1.45831819e-10 -3.23859146e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790973e-20 -6.33615005e-21 -7.48641600e-16) (-5.34489363e-20 5.76371844e-23 6.18302368e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106.95          	((1.21297154e+00 -4.01466229e-08 3.88591098e-21) (7.61987421e-01 -9.01078125e-10 -3.24034607e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790423e-20 -6.33615147e-21 -3.78451610e-15) (-5.34489381e-20 5.76374372e-23 5.53428855e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
107             	((1.21297141e+00 3.34532338e-08 3.88590164e-21) (7.61987330e-01 -2.36187153e-10 -3.23904324e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790843e-20 -6.33614798e-21 -4.14794067e-15) (-5.34489353e-20 5.76359856e-23 6.40832491e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
107.05          	((1.21297135e+00 -1.20692945e-09 3.88588279e-21) (7.61987242e-01 1.72786174e-10 -3.23993753e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790468e-20 -6.33615170e-21 3.52842755e-15) (-5.34489313e-20 5.76387985e-23 6.16949970e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
107.1           	((1.21297092e+00 1.17741541e-08 3.88587653e-21) (7.61987147e-01 -1.01935300e-11 -3.23889241e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790745e-20 -6.33615163e-21 -4.54280710e-17) (-5.34489316e-20 5.76356318e-23 6.36421790e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
107.15          	((1.21297087e+00 -1.30587991e-08 3.88585463e-21) (7.61987053e-01 -4.43228756e-10 -3.23956517e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.16790418e-20 -6.33614783e-21 2.37049963e-15) (-5.34489204e-20 5.76383911e-23 5.29505686e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
