# Region type : patch inlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
          14.75	-9.22542469e-03	(9.55260556e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           14.8	-9.23817428e-03	(9.56580733e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          14.85	-9.25085810e-03	(9.57894098e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           14.9	-9.26347649e-03	(9.59200688e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          14.95	-9.27602979e-03	(9.60500539e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
             15	-9.28851836e-03	(9.61793686e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.05	-9.30094253e-03	(9.63080166e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.1	-9.31330265e-03	(9.64360013e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.15	-9.32559905e-03	(9.65633262e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.2	-9.33783207e-03	(9.66899949e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.25	-9.35000206e-03	(9.68160109e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.3	-9.36210933e-03	(9.69413775e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.35	-9.37415424e-03	(9.70660983e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.4	-9.38613710e-03	(9.71901766e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.45	-9.39805824e-03	(9.73136159e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.5	-9.40991799e-03	(9.74364195e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.55	-9.42171668e-03	(9.75585908e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.6	-9.43345463e-03	(9.76801332e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.65	-9.44513216e-03	(9.78010499e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.7	-9.45674959e-03	(9.79213444e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.75	-9.46830724e-03	(9.80410198e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.8	-9.47980542e-03	(9.81600794e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.85	-9.49124445e-03	(9.82785266e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           15.9	-9.50262464e-03	(9.83963645e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          15.95	-9.51394630e-03	(9.85135963e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
             16	-9.52520974e-03	(9.86302254e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.05	-9.53641527e-03	(9.87462547e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.1	-9.54756320e-03	(9.88616876e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.15	-9.55865382e-03	(9.89765272e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.2	-9.56968745e-03	(9.90907765e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.25	-9.58066438e-03	(9.92044388e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.3	-9.59158491e-03	(9.93175171e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.35	-9.60244933e-03	(9.94300144e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.4	-9.61325796e-03	(9.95419339e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.45	-9.62401107e-03	(9.96532786e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.5	-9.63470896e-03	(9.97640516e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.55	-9.64535193e-03	(9.98742558e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.6	-9.65594025e-03	(9.99838942e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.65	-9.66647423e-03	(1.00092970e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.7	-9.67695415e-03	(1.00201486e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.75	-9.68738028e-03	(1.00309445e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.8	-9.69775292e-03	(1.00416850e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.85	-9.70807235e-03	(1.00523704e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           16.9	-9.71833884e-03	(1.00630010e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          16.95	-9.72855268e-03	(1.00735771e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
             17	-9.73871414e-03	(1.00840989e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.05	-9.74882350e-03	(1.00945668e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.1	-9.75888102e-03	(1.01049810e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.15	-9.76888700e-03	(1.01153418e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.2	-9.77884168e-03	(1.01256496e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.25	-9.78874536e-03	(1.01359045e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.3	-9.79859828e-03	(1.01461068e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.35	-9.80840073e-03	(1.01562569e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.4	-9.81815296e-03	(1.01663550e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.45	-9.82785523e-03	(1.01764014e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.5	-9.83750782e-03	(1.01863963e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.55	-9.84711098e-03	(1.01963400e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.6	-9.85666498e-03	(1.02062329e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.65	-9.86617006e-03	(1.02160751e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.7	-9.87562648e-03	(1.02258669e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.75	-9.88503451e-03	(1.02356085e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.8	-9.89439439e-03	(1.02453004e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.85	-9.90370638e-03	(1.02549426e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           17.9	-9.91297073e-03	(1.02645355e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          17.95	-9.92218769e-03	(1.02740794e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
             18	-9.93135751e-03	(1.02835744e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.05	-9.94048042e-03	(1.02930208e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.1	-9.94955669e-03	(1.03024190e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.15	-9.95858655e-03	(1.03117691e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.2	-9.96757025e-03	(1.03210714e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.25	-9.97650803e-03	(1.03303262e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.3	-9.98540012e-03	(1.03395336e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.35	-9.99424677e-03	(1.03486940e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.4	-1.00030482e-02	(1.03578076e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.45	-1.00118047e-02	(1.03668747e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.5	-1.00205165e-02	(1.03758954e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.55	-1.00291837e-02	(1.03848700e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.6	-1.00378067e-02	(1.03937988e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.65	-1.00463856e-02	(1.04026820e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.7	-1.00549208e-02	(1.04115198e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.75	-1.00634124e-02	(1.04203126e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.8	-1.00718606e-02	(1.04290604e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.85	-1.00802657e-02	(1.04377636e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           18.9	-1.00886279e-02	(1.04464224e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          18.95	-1.00969474e-02	(1.04550370e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
             19	-1.01052245e-02	(1.04636076e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.05	-1.01134594e-02	(1.04721345e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.1	-1.01216522e-02	(1.04806179e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.15	-1.01298033e-02	(1.04890580e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.2	-1.01379128e-02	(1.04974551e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.25	-1.01459809e-02	(1.05058094e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.3	-1.01540079e-02	(1.05141211e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.35	-1.01619940e-02	(1.05223904e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.4	-1.01699393e-02	(1.05306175e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.45	-1.01778442e-02	(1.05388028e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.5	-1.01857088e-02	(1.05469463e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.55	-1.01935333e-02	(1.05550483e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.6	-1.02013179e-02	(1.05631090e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.65	-1.02090629e-02	(1.05711286e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.7	-1.02167684e-02	(1.05791074e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.75	-1.02244347e-02	(1.05870456e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.8	-1.02320619e-02	(1.05949433e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.85	-1.02396503e-02	(1.06028008e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           19.9	-1.02472001e-02	(1.06106183e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
          19.95	-1.02547114e-02	(1.06183960e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
             20	-1.02621845e-02	(1.06261341e+00 0.00000000e+00 0.00000000e+00)	1.53103000e+00
