# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
2.9             	2.40705064e-09	2.40318385e+00	1.84353789e-08	1.16247401e-08	6.81063881e-09
2.95            	2.42393114e-09	2.39910465e+00	1.92887424e-08	1.20683023e-08	7.22044004e-09
3               	2.43582037e-09	2.39510930e+00	2.00123134e-08	1.24419771e-08	7.57033633e-09
3.05            	2.44184006e-09	2.39119271e+00	2.05972174e-08	1.27404488e-08	7.85676865e-09
3.1             	2.48698812e-09	2.38735058e+00	2.11930711e-08	1.30835237e-08	8.10954745e-09
3.15            	2.49759654e-09	2.38357796e+00	-3.77420402e-07	-1.86212604e-07	-1.91207797e-07
3.2             	2.77960021e-09	2.37987126e+00	-5.51050839e-09	2.43460209e-11	-5.53485441e-09
3.25            	3.00046984e-09	2.37622716e+00	-1.03721621e-07	-4.88603407e-08	-5.48612804e-08
3.3             	3.22576720e-09	2.37264218e+00	-9.12716041e-08	-4.24100348e-08	-4.88615692e-08
3.35            	3.43133611e-09	2.36911362e+00	-8.47302799e-08	-3.89338039e-08	-4.57964761e-08
3.4             	3.61202923e-09	2.36563867e+00	-7.79444191e-08	-3.53601803e-08	-4.25842388e-08
3.45            	3.76766280e-09	2.36221481e+00	-7.12095865e-08	-3.18371305e-08	-3.93724560e-08
3.5             	3.90136273e-09	2.35883996e+00	-6.45742471e-08	-2.83857608e-08	-3.61884863e-08
3.55            	4.01548913e-09	2.35551190e+00	-5.81931646e-08	-2.50810931e-08	-3.31120714e-08
3.6             	4.11210944e-09	2.35222876e+00	-5.20324685e-08	-2.19041248e-08	-3.01283437e-08
3.65            	4.19913461e-09	2.34898906e+00	-7.23386884e-08	-3.19702096e-08	-4.03684788e-08
3.7             	4.28213592e-09	2.34579058e+00	-6.51461736e-08	-2.82909509e-08	-3.68552227e-08
