# Region type : patch outlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	max(U)	max(p)
            3.7	(5.36703453e-01 1.46807856e-08 0.00000000e+00)	0.00000000e+00
           3.75	(5.43102967e-01 1.56519021e-08 0.00000000e+00)	0.00000000e+00
            3.8	(5.49472995e-01 1.65446711e-08 0.00000000e+00)	0.00000000e+00
           3.85	(5.55813511e-01 1.73642355e-08 0.00000000e+00)	0.00000000e+00
            3.9	(5.62124499e-01 1.81150458e-08 0.00000000e+00)	0.00000000e+00
           3.95	(5.68405948e-01 1.88024721e-08 0.00000000e+00)	0.00000000e+00
              4	(5.74657855e-01 1.94307582e-08 0.00000000e+00)	0.00000000e+00
           4.05	(5.80880222e-01 2.00048242e-08 0.00000000e+00)	0.00000000e+00
            4.1	(5.87073060e-01 2.05285421e-08 0.00000000e+00)	0.00000000e+00
           4.15	(5.93236382e-01 2.10064750e-08 0.00000000e+00)	0.00000000e+00
            4.2	(5.99370211e-01 2.14423336e-08 0.00000000e+00)	0.00000000e+00
           4.25	(6.05474573e-01 2.18392129e-08 0.00000000e+00)	0.00000000e+00
            4.3	(6.11549498e-01 2.22020838e-08 0.00000000e+00)	0.00000000e+00
           4.35	(6.17595025e-01 2.25314213e-08 0.00000000e+00)	0.00000000e+00
            4.4	(6.23611193e-01 2.28318508e-08 0.00000000e+00)	0.00000000e+00
           4.45	(6.29598050e-01 2.31058314e-08 0.00000000e+00)	0.00000000e+00
            4.5	(6.35555644e-01 2.33546296e-08 0.00000000e+00)	0.00000000e+00
           4.55	(6.41484030e-01 2.35806314e-08 0.00000000e+00)	0.00000000e+00
            4.6	(6.47383267e-01 2.37859690e-08 0.00000000e+00)	0.00000000e+00
           4.65	(6.53253416e-01 2.39726840e-08 0.00000000e+00)	0.00000000e+00
            4.7	(6.59094542e-01 2.41402394e-08 0.00000000e+00)	0.00000000e+00
           4.75	(6.64906714e-01 2.42919459e-08 0.00000000e+00)	0.00000000e+00
            4.8	(6.70690005e-01 2.44276083e-08 0.00000000e+00)	0.00000000e+00
           4.85	(6.76444488e-01 2.45495757e-08 0.00000000e+00)	0.00000000e+00
            4.9	(6.82170243e-01 2.46563268e-08 0.00000000e+00)	0.00000000e+00
           4.95	(6.87867350e-01 2.47509892e-08 0.00000000e+00)	0.00000000e+00
              5	(6.93535891e-01 2.48337070e-08 0.00000000e+00)	0.00000000e+00
           5.05	(6.99175953e-01 2.48380948e-08 0.00000000e+00)	0.00000000e+00
            5.1	(7.04787623e-01 2.48397006e-08 0.00000000e+00)	0.00000000e+00
           5.15	(7.10370993e-01 2.48425821e-08 0.00000000e+00)	0.00000000e+00
            5.2	(7.15926153e-01 2.48493047e-08 0.00000000e+00)	0.00000000e+00
           5.25	(7.21453199e-01 2.48558082e-08 0.00000000e+00)	0.00000000e+00
            5.3	(7.26952227e-01 2.48628321e-08 0.00000000e+00)	0.00000000e+00
           5.35	(7.32423334e-01 2.48669880e-08 0.00000000e+00)	0.00000000e+00
            5.4	(7.37866620e-01 2.49009556e-08 0.00000000e+00)	0.00000000e+00
           5.45	(7.43282186e-01 2.49254582e-08 0.00000000e+00)	0.00000000e+00
            5.5	(7.48670135e-01 2.49389059e-08 0.00000000e+00)	0.00000000e+00
           5.55	(7.54030571e-01 2.49411746e-08 0.00000000e+00)	0.00000000e+00
            5.6	(7.59363598e-01 2.49326913e-08 0.00000000e+00)	0.00000000e+00
           5.65	(7.64669324e-01 2.49128926e-08 0.00000000e+00)	0.00000000e+00
            5.7	(7.69947856e-01 2.48824612e-08 0.00000000e+00)	0.00000000e+00
           5.75	(7.75199303e-01 2.48419900e-08 0.00000000e+00)	0.00000000e+00
            5.8	(7.80423773e-01 2.47918788e-08 0.00000000e+00)	0.00000000e+00
           5.85	(7.85621379e-01 2.47330138e-08 0.00000000e+00)	0.00000000e+00
            5.9	(7.90792231e-01 2.46656937e-08 0.00000000e+00)	0.00000000e+00
           5.95	(7.95936441e-01 2.45904263e-08 0.00000000e+00)	0.00000000e+00
              6	(8.01054122e-01 2.45083728e-08 0.00000000e+00)	0.00000000e+00
           6.05	(8.06145387e-01 2.44193821e-08 0.00000000e+00)	0.00000000e+00
            6.1	(8.11210352e-01 2.43240855e-08 0.00000000e+00)	0.00000000e+00
           6.15	(8.16249130e-01 2.42230854e-08 0.00000000e+00)	0.00000000e+00
            6.2	(8.21261837e-01 2.41164378e-08 0.00000000e+00)	0.00000000e+00
           6.25	(8.26248588e-01 2.40044405e-08 0.00000000e+00)	0.00000000e+00
            6.3	(8.31209499e-01 2.38875274e-08 0.00000000e+00)	0.00000000e+00
           6.35	(8.36144687e-01 2.37658515e-08 0.00000000e+00)	0.00000000e+00
            6.4	(8.41054269e-01 2.36395716e-08 0.00000000e+00)	0.00000000e+00
