# Region type : patch inlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	sum(phi)
           10.6	-7.89890506e-02
          10.65	-7.91854653e-02
           10.7	-7.93808534e-02
          10.75	-7.95752203e-02
           10.8	-7.97685715e-02
          10.85	-7.99609126e-02
           10.9	-8.01522490e-02
          10.95	-8.03425860e-02
             11	-8.05319291e-02
          11.05	-8.07202836e-02
           11.1	-8.09076549e-02
          11.15	-8.10940482e-02
           11.2	-8.12794688e-02
          11.25	-8.14639219e-02
           11.3	-8.16474128e-02
          11.35	-8.18299465e-02
           11.4	-8.20115283e-02
          11.45	-8.21921633e-02
           11.5	-8.23718565e-02
          11.55	-8.25506131e-02
           11.6	-8.27284380e-02
          11.65	-8.29053363e-02
           11.7	-8.30813129e-02
          11.75	-8.32563727e-02
           11.8	-8.34305208e-02
          11.85	-8.36037620e-02
           11.9	-8.37761012e-02
          11.95	-8.39475432e-02
             12	-8.41180928e-02
          12.05	-8.42877548e-02
           12.1	-8.44565340e-02
          12.15	-8.46244351e-02
           12.2	-8.47914628e-02
          12.25	-8.49576218e-02
           12.3	-8.51229168e-02
          12.35	-8.52873523e-02
           12.4	-8.54509330e-02
          12.45	-8.56136635e-02
           12.5	-8.57755483e-02
          12.55	-8.59365920e-02
           12.6	-8.60967990e-02
          12.65	-8.62561738e-02
           12.7	-8.64147209e-02
          12.75	-8.65724448e-02
           12.8	-8.67293497e-02
          12.85	-8.68854402e-02
           12.9	-8.70407205e-02
          12.95	-8.71951949e-02
             13	-8.73488679e-02
          13.05	-8.75017436e-02
           13.1	-8.76538264e-02
          13.15	-8.78051205e-02
           13.2	-8.79556300e-02
          13.25	-8.81053592e-02
           13.3	-8.82543122e-02
          13.35	-8.84024933e-02
           13.4	-8.85499064e-02
          13.45	-8.86965557e-02
           13.5	-8.88424453e-02
          13.55	-8.89875793e-02
           13.6	-8.91319616e-02
          13.65	-8.92755962e-02
           13.7	-8.94184873e-02
          13.75	-8.95606386e-02
           13.8	-8.97020542e-02
          13.85	-8.98427380e-02
           13.9	-8.99826938e-02
          13.95	-9.01219256e-02
             14	-9.02604373e-02
          14.05	-9.03982325e-02
           14.1	-9.05353153e-02
          14.15	-9.06716893e-02
           14.2	-9.08073583e-02
          14.25	-9.09423261e-02
           14.3	-9.10765963e-02
          14.35	-9.12101728e-02
           14.4	-9.13430592e-02
          14.45	-9.14752592e-02
           14.5	-9.16067764e-02
          14.55	-9.17376144e-02
           14.6	-9.18677769e-02
          14.65	-9.19972674e-02
           14.7	-9.21260896e-02
          14.75	-9.22542469e-02
           14.8	-9.23817428e-02
          14.85	-9.25085810e-02
           14.9	-9.26347649e-02
          14.95	-9.27602979e-02
             15	-9.28851836e-02
          15.05	-9.30094253e-02
           15.1	-9.31330265e-02
          15.15	-9.32559905e-02
           15.2	-9.33783207e-02
          15.25	-9.35000206e-02
           15.3	-9.36210933e-02
          15.35	-9.37415424e-02
           15.4	-9.38613710e-02
          15.45	-9.39805824e-02
           15.5	-9.40991799e-02
          15.55	-9.42171668e-02
           15.6	-9.43345463e-02
          15.65	-9.44513216e-02
           15.7	-9.45674959e-02
          15.75	-9.46830724e-02
           15.8	-9.47980542e-02
          15.85	-9.49124445e-02
           15.9	-9.50262464e-02
          15.95	-9.51394630e-02
             16	-9.52520974e-02
          16.05	-9.53641527e-02
           16.1	-9.54756320e-02
          16.15	-9.55865382e-02
           16.2	-9.56968745e-02
          16.25	-9.58066438e-02
           16.3	-9.59158491e-02
          16.35	-9.60244933e-02
           16.4	-9.61325796e-02
          16.45	-9.62401107e-02
           16.5	-9.63470896e-02
          16.55	-9.64535193e-02
           16.6	-9.65594025e-02
          16.65	-9.66647423e-02
           16.7	-9.67695415e-02
          16.75	-9.68738028e-02
           16.8	-9.69775292e-02
          16.85	-9.70807235e-02
           16.9	-9.71833884e-02
          16.95	-9.72855268e-02
             17	-9.73871414e-02
          17.05	-9.74882350e-02
           17.1	-9.75888102e-02
          17.15	-9.76888700e-02
           17.2	-9.77884168e-02
          17.25	-9.78874536e-02
           17.3	-9.79859828e-02
          17.35	-9.80840073e-02
           17.4	-9.81815296e-02
          17.45	-9.82785523e-02
           17.5	-9.83750782e-02
          17.55	-9.84711098e-02
           17.6	-9.85666498e-02
          17.65	-9.86617006e-02
           17.7	-9.87562648e-02
          17.75	-9.88503451e-02
           17.8	-9.89439439e-02
          17.85	-9.90370638e-02
           17.9	-9.91297073e-02
          17.95	-9.92218769e-02
             18	-9.93135751e-02
          18.05	-9.94048042e-02
           18.1	-9.94955669e-02
          18.15	-9.95858655e-02
           18.2	-9.96757025e-02
          18.25	-9.97650803e-02
           18.3	-9.98540012e-02
          18.35	-9.99424677e-02
           18.4	-1.00030482e-01
          18.45	-1.00118047e-01
           18.5	-1.00205165e-01
          18.55	-1.00291837e-01
           18.6	-1.00378067e-01
          18.65	-1.00463856e-01
           18.7	-1.00549208e-01
          18.75	-1.00634124e-01
           18.8	-1.00718606e-01
          18.85	-1.00802657e-01
           18.9	-1.00886279e-01
          18.95	-1.00969474e-01
             19	-1.01052245e-01
          19.05	-1.01134594e-01
           19.1	-1.01216522e-01
          19.15	-1.01298033e-01
           19.2	-1.01379128e-01
          19.25	-1.01459809e-01
           19.3	-1.01540079e-01
          19.35	-1.01619940e-01
           19.4	-1.01699393e-01
          19.45	-1.01778442e-01
           19.5	-1.01857088e-01
          19.55	-1.01935333e-01
           19.6	-1.02013179e-01
          19.65	-1.02090629e-01
           19.7	-1.02167684e-01
          19.75	-1.02244347e-01
           19.8	-1.02320619e-01
          19.85	-1.02396503e-01
           19.9	-1.02472001e-01
          19.95	-1.02547114e-01
             20	-1.02621845e-01
